data,value,unit,,
France,"51,28",gCO2/kWh ,,
memory_power,"0,3725",Reference value: W/giga octet,,
Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,10,tdp: TDP_per_core/nb core,,
Tesla V100-SXM2-32GB,250,tdp: W,,
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,"8,57142857142857",,,
Tesla P100-PCIE-12GB,250,,,
Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,10,,,
Tesla K80,300,,,
Intel(R) Xeon(R) CPU E5-2698 v4 @ 2.20GHz,"6,75",,,
NVIDIA GeForce GTX 1660 Ti with Max-Q Design,120,,,
Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,"11,25",,,
nuclear,"5,13",gCO2/kWh ,Datetime: '2020-01-01'     source: UNECE 2022,
wind,"12,62",,"datetime: '2021-01-01'       source: UNECE 2022, WindEurope ""Wind energy in Europe, 2021 Statistics and the         outlook for 2022-2026"" Wind Europe Proceedings (2021)",
solar,"30,075",,datetime: '2021-01-01'       source: INCER ACV,
oil,"1013,5956561",,"datetime: '2021-01-01'       source: EU-ETS, ENTSO-E 2021; IPCC 2014",
hydro,10.7,,datetime: '2020-01-01'       source: UNECE 2022,
gas,500.5979557,,"datetime: '2021-01-01'       source: EU-ETS, ENTSO-E 2021; IPCC 2014",
coal,953.9335274,,"datetime: '2021-01-01'       source: EU-ETS, ENTSO-E 2021; Oberschelp, Christopher, et al. ""Global emission         hotspots of coal power generation.""",
biomass,230.0,,datetime: '2014-01-01'       source: BEIS 2021, IPCC 2014
